nohup: ignoring input
 * Serving Flask app "backendServer" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://192.168.122.5:8800/ (Press CTRL+C to quit)
127.0.0.1 - - [12/Aug/2025 01:08:36] "GET /lidar_visualization/range_img/1.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:36] "GET /lidar_visualization/ply_img/3.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:36] "GET /lidar_visualization/range_img/3.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:36] "GET /lidar_visualization/ply_img/4.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:36] "GET /lidar_visualization/range_img/4.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:36] "GET /lidar_visualization/ply_img/5.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:37] "GET /lidar_visualization/range_img/5.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:37] "GET /lidar_visualization/ply_img/6.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:37] "GET /lidar_visualization/range_img/6.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:37] "GET /lidar_visualization/ply_img/7.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:37] "GET /lidar_visualization/range_img/7.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:39] "GET /get_lidar_visualization_results HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:11:17] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [12/Aug/2025 01:11:22] "GET /get_lidar_visualization_results HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:11:47] "POST /run_lidar_visualization HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:11:54] "GET /get_lidar_visualization_results HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:12:22] "GET /get_lidar_visualization_results HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:12:44] "GET /api/gpu_status HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:12:44] "GET /api/gpu_status HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:05] "GET /upload_status/image HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:48] "GET /list_input_datasets HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:48] "GET /list_output_datasets HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:48] "GET /get_random_dataset_images/Lifestyle?count=5 HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:48] "GET /get_random_output_images/Lifestyle?count=5 HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:48] "GET /get_random_dataset_images/Spaceship?count=5 HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:48] "GET /get_random_output_images/Spaceship?count=5 HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:48] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/180.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:48] "GET /input/datasets/Lifestyle/rgb/1_val_0063.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:48] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/028_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:48] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/028.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:48] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/180_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:48] "GET /input/datasets/Lifestyle/rgb/2_test_0110.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:48] "GET /input/datasets/Lifestyle/rgb/1_val_0081.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:48] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/009.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:48] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/009_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:48] "GET /input/datasets/Lifestyle/rgb/0_train_0017.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:48] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/168.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:49] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/168_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:49] "GET /input/datasets/Lifestyle/rgb/0_train_0093.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:49] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/134.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:49] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/134_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:49] "GET /input/datasets/Spaceship/rgb/2_test_0051.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:49] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/084.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:49] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/084_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:49] "GET /input/datasets/Spaceship/rgb/1_val_0009.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:49] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/073_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:49] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/073.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:49] "GET /input/datasets/Spaceship/rgb/0_train_0061.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:49] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/160.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:49] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/160_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:49] "GET /input/datasets/Spaceship/rgb/2_test_0172.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:49] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/159.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:49] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/159_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:49] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/132.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:13:49] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/132_d.png HTTP/1.1" 200 -
